Cod_setor;Situacao_setor;V001;V002;V003
230010105000001;1;169;0;0
230010105000002;1;74;0;0
230010105000003;1;79;0;0
230010105000004;8;16;"X";"X"
230010105000005;8;43;0;0
230010105000006;8;130;0;0
230010105000007;8;62;0;0
230010105000008;5;43;0;0
230010105000009;8;127;0;0
230010105000010;1;7;0;0
230010105000011;1;25;0;0
230010105000012;1;71;0;0
230010105000013;1;64;"X";"X"
230010105000014;1;104;2;0
230010105000015;1;31;1;0
230010105000017;1;5;"X";"X"
230010105000018;1;43;0;0
230010105000019;1;107;0;0
230010105000021;1;106;0;0
230010105000022;8;116;0;0
230010105000023;8;101;0;0
230010105000024;8;10;0;0
230010105000025;8;69;0;0
230010105000026;8;6;"X";"X"
230010120000001;1;63;0;0
230010120000002;8;100;0;0
230010120000003;8;135;0;0
230010120000004;8;156;0;0
230015005000001;1;67;1;0
230015005000002;1;114;1;0
230015005000003;1;132;0;0
230015005000004;1;107;0;0
230015005000005;1;271;0;0
230015005000006;1;117;1;0
230015005000007;1;113;1;0
230015005000008;1;81;0;0
230015005000009;8;153;0;0
230015005000010;5;75;1;0
230015005000011;5;42;0;0
230015005000012;8;114;0;0
230015005000013;8;134;0;0
230015005000014;8;106;0;0
230015005000015;5;116;0;0
230015005000016;5;205;2;0
230015005000017;8;54;0;0
230015005000018;5;29;0;0
230015005000020;1;0;"X";"X"
230015005000022;1;87;0;0
230015005000023;1;116;0;0
230015005000024;1;82;0;0
230015005000025;1;61;1;0
230015005000026;1;143;4;0
230015005000028;5;54;0;0
230015005000029;5;35;0;0
230015005000031;8;72;0;0
230015005000032;8;151;1;1
230015005000033;8;46;0;0
230015005000034;8;2;"X";"X"
230015005000035;4;39;0;0
230020005000001;1;54;0;0
230020005000002;1;106;0;0
230020005000003;1;145;0;0
230020005000004;1;105;0;0
230020005000005;1;134;1;0
230020005000006;1;66;0;1
230020005000007;1;188;1;1
230020005000008;1;75;0;0
230020005000009;1;162;0;0
230020005000010;1;174;0;0
230020005000011;1;167;1;0
230020005000012;1;201;0;0
230020005000013;1;137;1;0
230020005000014;2;296;1;0
230020005000015;2;57;2;0
230020005000016;1;88;1;0
230020005000017;1;145;1;0
230020005000018;8;140;1;0
230020005000019;8;52;0;0
230020005000020;8;135;0;0
230020005000021;8;340;11;1
230020005000022;8;96;0;0
230020005000023;8;111;0;0
230020005000024;8;231;2;1
230020005000025;8;36;0;0
230020005000026;8;215;0;0
230020005000027;8;509;4;0
230020005000028;8;73;0;0
230020005000029;8;114;0;0
230020005000030;1;79;0;0
230020005000031;1;195;0;1
230020005000032;1;148;1;1
230020005000033;1;163;0;1
230020005000034;1;106;1;0
230020005000035;1;130;2;0
230020005000036;1;188;0;0
230020005000037;1;143;0;0
230020005000038;1;137;1;0
230020005000039;2;78;0;0
230020005000040;2;377;5;0
230020005000041;1;173;0;0
230020005000042;1;32;0;0
230020005000043;1;156;0;0
230020005000044;8;61;0;0
230020005000046;5;11;0;0
230020005000047;8;92;0;0
230020010000001;1;141;3;0
230020010000002;1;97;0;0
230020010000003;8;137;0;0
230020010000004;8;199;0;0
230020010000005;8;140;2;0
230020010000006;8;75;0;0
230020010000007;8;116;2;0
230020010000008;8;158;3;0
230020010000009;5;118;0;0
230020010000010;5;47;0;0
230020010000011;8;232;2;1
230020010000012;8;48;0;0
230020010000013;8;90;0;0
230020010000014;1;76;0;0
230020010000015;8;54;0;0
230020010000016;8;51;0;0
230020010000017;5;42;0;0
230020030000001;1;94;0;0
230020030000002;8;243;0;0
230020030000003;8;16;0;0
230020030000004;8;89;0;0
230020030000005;8;131;0;0
230020030000006;8;101;3;0
230020030000007;8;168;2;0
230020030000008;8;168;2;0
230020030000009;8;143;12;0
230020030000010;8;138;0;0
230020030000011;8;33;0;0
230020030000012;8;55;2;3
230020030000013;5;173;0;0
230020030000014;8;75;1;0
230020030000015;5;117;2;1
230020030000016;1;382;0;0
230020030000017;5;70;1;0
230020040000001;1;116;0;0
230020040000002;8;136;0;0
230020040000003;8;147;0;0
230020040000004;8;128;0;0
230020040000005;8;14;0;0
230030905000001;1;81;0;0
230030905000002;1;56;0;0
230030905000003;1;32;0;0
230030905000004;1;87;0;0
230030905000005;1;64;0;0
230030905000006;1;76;0;0
230030905000007;1;80;0;0
230030905000008;1;27;0;0
230030905000009;1;90;0;0
230030905000010;1;35;0;0
230030905000011;1;57;0;0
230030905000012;1;17;0;0
230030905000013;1;83;0;0
230030905000014;1;159;0;0
230030905000015;1;173;0;0
230030905000016;1;0;"X";"X"
230030905000017;1;134;0;0
230030905000018;1;157;0;0
230030905000019;1;7;"X";"X"
230030905000021;1;23;"X";"X"
230030905000022;1;132;0;0
230030905000023;1;39;0;0
230030905000024;1;212;2;0
230030905000025;1;179;0;0
230030905000026;1;304;0;0
230030905000027;1;49;0;0
230030905000028;1;84;0;0
230030905000029;1;12;0;0
230030905000030;1;184;0;0
230030905000031;8;102;0;0
230030905000032;8;115;1;2
230030905000033;8;170;1;0
230030905000034;8;42;0;0
230030905000035;8;108;0;0
230030905000036;8;92;1;0
230030905000037;8;121;1;0
230030905000038;1;86;0;0
230030905000039;1;110;0;0
230030905000040;1;96;0;0
230030905000041;1;132;0;0
230030905000042;1;39;0;0
230030905000043;1;122;"X";"X"
230030905000044;1;129;0;0
230030905000045;1;23;3;0
230030905000047;1;9;0;0
230030905000048;1;166;0;0
230030905000049;8;73;0;0
230030905000050;8;114;0;0
230030907000001;1;41;0;0
230030907000002;8;92;3;0
230030907000003;8;86;2;1
230030907000004;8;209;0;0
230030910000001;1;28;0;0
230030910000002;8;67;0;0
230030910000003;8;103;7;0
230030910000004;8;26;0;0
230030915000001;1;61;1;0
230030915000002;8;63;0;1
230030915000003;5;73;0;0
230030915000004;8;78;0;0
230030920000001;1;19;0;0
230030920000002;8;102;18;0
230030920000003;5;41;0;0
230030920000004;8;56;0;3
230030925000001;1;94;0;0
230030925000002;8;135;0;0
230030925000003;8;52;0;0
230030925000004;8;26;0;0
230030925000005;8;93;0;0
230030925000006;8;53;0;0
230030925000007;1;50;0;0
230030925000008;8;158;0;0
230030925000009;8;77;0;0
230030925000010;8;5;0;0
230030925000011;8;1;0;0
230030925000012;8;11;0;0
230030930000001;1;67;0;0
230030930000002;8;196;0;0
230030930000003;8;171;0;0
230030930000004;8;156;0;0
230030931000001;1;62;0;0
230030931000002;8;118;10;1
230030931000003;8;202;4;0
230030931000004;1;115;0;0
230030933000001;1;24;0;0
230030933000002;8;140;0;0
230030935000001;1;111;0;0
230030935000002;8;91;0;0
230030935000003;5;30;0;0
230030935000004;8;83;0;0
230030935000005;8;178;1;0
230030935000006;8;106;0;0
230030935000007;8;157;0;1
230030935000008;8;148;0;0
230030935000009;1;81;0;0
230030935000010;8;73;0;0
230040805000001;1;93;1;0
230040805000002;1;80;0;0
230040805000003;1;86;0;0
230040805000004;8;108;1;0
230040805000005;5;115;0;0
230040805000006;8;55;0;0
230040805000007;8;37;0;0
230040805000008;8;91;0;0
230040805000009;8;30;0;0
230040805000010;8;77;0;0
230040805000011;8;76;0;0
230040805000012;8;49;0;0
230040805000013;5;26;0;0
230040805000014;8;42;0;0
230040805000015;8;29;0;0
230040805000016;8;59;0;0
230040805000017;1;82;0;0
230040805000018;1;61;0;0
230040805000019;1;145;0;0
230040805000020;8;75;0;0
230040805000021;8;80;0;0
230040805000022;8;165;1;0
230040805000023;8;244;0;0
230040805000024;5;15;0;0
230040810000001;1;133;0;0
230040810000002;8;65;0;0
230040810000003;8;138;0;0
230040810000004;8;150;1;0
230040810000005;8;163;0;0
230040810000006;5;175;0;0
230040810000007;8;1;"X";"X"
230040810000008;5;9;"X";"X"
230040810000009;8;158;0;0
230040810000010;8;16;0;0
230040810000011;8;132;0;0
230040810000012;8;119;1;0
230050705000001;1;60;0;0
230050705000002;1;111;1;0
230050705000003;1;8;0;0
230050705000004;1;105;0;0
230050705000005;1;25;0;0
230050705000006;8;172;1;0
230050705000007;8;64;0;0
230050705000008;5;68;1;0
230050705000009;8;57;0;0
230050705000010;5;41;1;0
230050705000011;8;74;2;0
230050705000012;8;130;0;0
230050705000013;8;151;3;0
230050705000014;8;131;0;0
230050705000015;8;164;0;0
230050705000016;1;200;1;0
230050705000017;8;119;3;0
230050710000001;1;64;0;0
230050710000002;8;206;2;0
230060605000001;1;79;0;0
230060605000002;1;217;3;0
230060605000003;1;87;1;0
230060605000004;1;79;0;0
230060605000005;8;132;1;0
230060605000006;8;47;0;0
230060605000007;1;69;0;0
230060605000008;1;104;0;0
230060605000009;1;212;3;0
230060605000010;8;40;0;0
230060605000011;5;65;0;0
230060610000001;1;52;0;0
230060610000002;8;65;0;0
230070505000001;1;29;0;0
230070505000002;1;27;0;0
230070505000003;1;12;0;0
230070505000004;1;58;0;0
230070505000005;1;53;0;0
230070505000006;1;56;0;0
230070505000007;2;61;0;0
230070505000008;1;112;0;0
230070505000009;1;127;0;0
230070505000010;1;26;0;0
230070505000011;8;4;0;0
230070505000012;8;219;2;1
230070505000013;8;1;"X";"X"
230070505000014;1;65;1;0
230070505000015;8;1;"X";"X"
230070505000016;8;2;"X";"X"
230070505000017;1;198;2;0
230070505000018;1;31;3;0
230070505000020;1;101;0;0
230070505000021;1;78;2;0
230070508000001;1;41;1;0
230070508000002;8;81;0;0
230070508000003;8;95;0;0
230070508000004;8;51;0;0
230070508000005;8;3;0;0
230070508000006;8;13;0;0
230070508000007;8;35;0;0
230070508000008;8;10;0;0
230070508000009;8;65;0;0
230070508000011;8;59;0;0
230070508000012;8;68;0;0
230070510000001;1;159;0;0
230070510000002;8;93;0;0
230070512000001;1;63;0;0
230070512000002;8;86;2;0
230070512000003;8;96;1;0
230070512000004;8;62;0;0
230070515000001;1;22;0;0
230070515000002;8;140;1;0
230070515000003;8;26;0;0
230070515000004;8;32;0;0
230070515000005;8;31;0;0
230070520000001;1;25;0;0
230070520000002;8;94;1;0
230070525000001;1;32;0;0
230070525000002;8;66;0;0
230070525000003;8;38;0;0
230070525000004;8;69;1;0
230075405000001;1;80;1;0
230075405000002;1;143;3;1
230075405000003;1;118;0;0
230075405000004;1;163;3;0
230075405000005;1;208;7;1
230075405000006;1;217;4;0
230075405000007;1;126;2;1
230075405000008;1;139;0;0
230075405000009;8;96;0;0
230075405000010;8;87;1;0
230075405000011;8;92;0;0
230075405000012;8;55;0;0
230075405000013;8;164;0;1
230075405000014;8;132;1;0
230075405000015;8;55;0;0
230075405000016;1;122;1;0
230075405000017;1;165;0;0
230075405000018;1;286;6;0
230075405000019;1;173;1;0
230075405000020;1;207;3;1
230075405000021;8;59;1;0
230075405000022;8;189;6;1
230075410000001;1;68;0;1
230075410000002;8;75;0;0
230075410000003;8;287;3;0
230075410000004;8;83;1;0
230075410000005;8;166;5;0
230075412000001;1;113;0;0
230075412000002;8;158;0;0
230075412000003;7;96;0;0
230075412000004;8;61;0;0
230075412000005;8;115;5;0
230075412000006;8;158;1;0
230075412000007;8;106;7;0
230075412000008;8;136;3;0
230075415000001;1;168;8;0
230075415000002;8;196;2;1
230075415000003;8;115;7;0
230075415000004;1;210;5;2
230075415000005;8;115;1;0
230075420000001;1;48;0;0
230075420000002;8;103;3;1
230075420000003;8;165;0;0
230075425000001;1;217;2;0
230075425000002;8;114;1;0
230075425000003;7;64;0;0
230075425000004;7;17;0;0
230075425000005;8;70;0;0
230075425000006;1;105;0;1
230075428000001;1;87;1;1
230075428000002;8;197;0;0
230075428000003;8;128;0;0
230075428000005;8;75;0;1
230075430000001;1;24;1;0
230075430000002;8;91;0;0
230075430000003;8;178;2;0
230075430000004;8;25;0;0
230075435000001;1;3;1;0
230075435000002;8;82;1;0
230075440000001;1;93;0;0
230075440000002;8;300;7;0
230075440000003;5;114;0;0
230075440000004;8;324;5;1
230075440000005;8;134;1;1
230075440000006;8;149;1;0
230075440000007;8;174;0;0
230080405000001;1;139;3;0
230080405000002;1;75;0;0
230080405000003;1;129;1;0
230080405000004;1;126;2;0
230080405000005;8;172;0;0
230080405000006;8;124;2;0
230080405000007;1;65;0;0
230080405000008;1;85;0;0
230080405000009;1;84;0;0
230080405000010;1;151;0;0
230080405000011;5;23;0;0
230080410000001;1;37;0;0
230080410000002;8;115;0;0
230090305000001;1;104;0;0
230090305000002;1;104;1;0
230090305000003;1;66;3;0
230090305000004;1;119;3;0
230090305000005;1;182;0;0
230090305000006;1;31;0;0
230090305000007;8;91;1;0
230090305000008;8;79;2;0
230090305000009;8;70;0;0
230090305000010;8;120;0;0
230090305000011;8;111;2;0
230090305000012;7;38;0;0
230090305000013;1;133;2;0
230090305000014;1;86;1;0
230090305000015;1;70;3;0
230090305000016;5;55;0;0
230090305000017;8;109;0;0
230090305000018;8;52;0;0
230090310000001;1;42;0;0
230090310000002;8;191;2;0
230090310000003;8;109;0;0
230090310000004;8;130;0;0
230090310000005;7;27;0;0
230090315000001;1;41;0;0
230090315000002;8;85;1;0
230090315000003;8;44;0;0
230090315000004;8;147;5;0
230090315000005;8;49;0;0
230100005000001;1;179;0;0
230100005000002;1;95;0;0
230100005000003;1;96;0;0
230100005000004;1;61;0;0
230100005000005;1;208;1;0
230100005000006;1;163;1;0
230100005000007;1;124;3;0
230100005000008;1;204;3;0
230100005000009;2;168;1;1
230100005000010;1;164;0;0
230100005000011;1;16;0;0
230100005000012;1;27;0;0
230100005000013;1;65;0;0
230100005000014;1;141;2;0
230100005000015;1;106;0;0
230100005000016;1;108;0;0
230100005000017;2;178;0;0
230100005000018;2;270;3;1
230100005000019;2;220;3;0
230100005000020;2;420;0;0
230100005000021;1;144;2;0
230100005000022;1;114;0;0
230100005000023;1;77;1;0
230100005000024;1;122;0;2
230100005000025;1;87;0;0
230100005000026;1;67;0;0
230100005000027;1;312;9;0
230100005000028;1;44;0;0
230100005000029;1;49;1;0
230100005000030;2;166;1;0
230100005000031;1;312;3;0
230100005000032;1;48;0;0
230100005000033;1;0;"X";"X"
230100005000034;1;2;"X";"X"
230100005000035;1;76;0;0
230100005000036;1;32;0;0
230100005000037;1;53;0;0
230100007000001;1;63;0;0
230100007000002;2;162;1;0
230100007000003;2;151;4;0
230100007000004;2;183;1;0
230100007000005;2;236;5;0
230100007000006;2;160;3;0
230100007000007;2;70;1;0
230100007000008;2;88;0;0
230100007000009;2;132;3;0
230100007000010;2;118;1;0
230100007000011;2;250;0;0
230100007000012;8;0;0;0
230100007000013;8;58;0;0
230100007000014;2;73;2;0
230100008000001;1;137;2;0
230100008000002;8;153;2;0
230100008000003;8;15;0;0
230100008000004;1;25;0;0
230100008000005;8;18;1;0
230100015000001;1;55;0;0
230100015000002;1;90;0;0
230100015000003;1;14;0;0
230100015000004;1;22;0;0
230100015000005;2;103;3;0
230100015000006;2;2;0;0
230100015000007;3;242;1;0
230100015000008;2;68;3;0
230100015000009;1;61;0;0
230100015000010;1;54;1;0
230100015000011;2;102;0;0
230100015000012;1;39;0;0
230100015000013;1;171;2;0
230100015000014;1;138;2;0
230100015000016;2;35;"X";"X"
230100017000001;1;13;1;0
230100017000002;2;229;8;0
230100017000003;2;180;0;0
230100017000004;2;250;6;0
230100017000005;2;131;2;0
230100017000006;2;233;7;1
230100020000001;1;24;0;0
230100020000002;2;102;0;0
230100020000003;2;290;1;0
